iter	Accuracy	MultiClass
108	0.3463926354	2.47024126
109	0.3478912438	2.466803288
110	0.3481053308	2.463817557
111	0.3498180261	2.463144905
112	0.3511025476	2.460387128
113	0.3513166346	2.460204339
114	0.3511025476	2.457240199
115	0.3517448084	2.454152165
116	0.3506743738	2.452808891
117	0.3530293299	2.449097597
118	0.3532434168	2.446374327
119	0.3540997645	2.443195752
120	0.3532434168	2.440231833
121	0.3558124599	2.43838197
122	0.3575251552	2.434825379
123	0.3594519375	2.431540049
124	0.3605223721	2.430418408
125	0.3611646328	2.429474102
126	0.3611646328	2.429166122
127	0.3603082852	2.428963236
128	0.3611646328	2.426359935
129	0.3620209805	2.425317005
130	0.3628773282	2.422500115
131	0.3628773282	2.418543106
132	0.3615928067	2.415988712
133	0.3620209805	2.415655468
134	0.363305502	2.412396214
135	0.3622350674	2.40996866
136	0.3624491544	2.40928131
137	0.363519589	2.405986154
138	0.3663027189	2.402020315
139	0.366088632	2.401087243
140	0.3688717619	2.396623381
141	0.368657675	2.396246132
142	0.3680154143	2.395795924
143	0.3695140227	2.394363995
144	0.3697281096	2.393535614
145	0.3697281096	2.390247296
146	0.3688717619	2.38981302
147	0.371226718	2.385554576
148	0.3725112396	2.384761705
149	0.3722971526	2.380831538
150	0.3722971526	2.379004223
151	0.3718689788	2.375488341
152	0.3727253265	2.372235997
153	0.3742239349	2.367401577
154	0.374009848	2.365092301
155	0.3755084564	2.362993933
156	0.3774352387	2.358854017
157	0.3778634125	2.354483963
158	0.3785056733	2.354058269
159	0.3795761079	2.352405403
160	0.3825733248	2.349678603
161	0.3832155855	2.348153718
162	0.3834296724	2.344571424
163	0.3830014986	2.341555665
164	0.3832155855	2.339696586
165	0.3834296724	2.339120859
166	0.3853564547	2.334606382
167	0.3859987155	2.331790519
168	0.387283237	2.327562301
169	0.3877114108	2.325524052
170	0.387283237	2.322223276
171	0.387283237	2.321694314
172	0.3896381931	2.318468795
173	0.3911368015	2.315299655
174	0.3911368015	2.313332285
175	0.3928494969	2.309612755
176	0.3943481053	2.30606909
177	0.395204453	2.302832682
178	0.3982016699	2.299076409
179	0.3975594091	2.297781595
180	0.3975594091	2.292472895
181	0.4001284522	2.28761714
182	0.4001284522	2.282087147
183	0.400556626	2.279060798
184	0.3999143652	2.276572425
185	0.4024834083	2.273571854
186	0.4044101905	2.270237726
187	0.405908799	2.266971042
188	0.4078355812	2.263413742
189	0.4091201028	2.261117205
190	0.4099764504	2.257952597
191	0.4104046243	2.252751864
192	0.4123314066	2.24952741
193	0.4140441019	2.246074114
194	0.4153286234	2.241954726
195	0.4166131449	2.236122868
196	0.416399058	2.233820526
197	0.4166131449	2.22991617
198	0.4170413188	2.225201994
199	0.4176835795	2.222375663
200	0.4196103618	2.218841277
201	0.4213230572	2.215819202
202	0.4232498394	2.21117803
203	0.4251766217	2.20778193
204	0.4253907086	2.204350564
205	0.4268893171	2.200251789
206	0.4279597517	2.197593067
207	0.4290301863	2.193646824
208	0.4305287947	2.189547318
209	0.4294583601	2.185546043
210	0.4315992293	2.182167845
211	0.4333119246	2.178787026
212	0.4337400985	2.174658909
213	0.4356668808	2.170958245
214	0.4365232284	2.167516175
215	0.4371654892	2.164972042
216	0.4384500107	2.161345021
217	0.4418754014	2.157232905
218	0.4416613145	2.152910176
219	0.442945836	2.149512305
220	0.4431599229	2.146258174
221	0.4448726183	2.141415376
222	0.4474416613	2.136360394
223	0.4478698352	2.133221872
224	0.4491543567	2.129205032
225	0.4493684436	2.124985068
226	0.4510811389	2.119142511
227	0.4515093128	2.115510459
228	0.453650182	2.112057506
229	0.4545065297	2.109776709
230	0.4542924427	2.106025207
231	0.4555769642	2.102674464
232	0.4577178334	2.099604255
233	0.4579319204	2.096549167
234	0.4579319204	2.094317379
235	0.4583600942	2.091723942
236	0.4605009634	2.088640011
237	0.461571398	2.086232574
238	0.4630700064	2.083342985
239	0.4643545279	2.080930215
240	0.4643545279	2.07721777
241	0.4654249625	2.071907255
242	0.4656390495	2.069263697
243	0.4662813102	2.066220316
244	0.4682080925	2.061431581
245	0.4684221794	2.057470712
246	0.4690644402	2.055181419
247	0.4688503532	2.051531031
248	0.4701348748	2.049590545
249	0.4707771355	2.046839207
250	0.4712053094	2.044179714
251	0.4712053094	2.040466188
252	0.4746307001	2.035365279
253	0.4757011347	2.033115434
254	0.47741383	2.028273005
255	0.4771997431	2.024324754
256	0.4776279169	2.02146598
257	0.4789124385	2.01944404
258	0.4786983515	2.016974389
259	0.48019696	2.014230769
260	0.4804110469	2.011748388
261	0.4819096553	2.008800469
262	0.4834082638	2.005706941
263	0.4831941768	2.002302911
264	0.4842646114	1.998062464
265	0.4857632199	1.995711043
266	0.4866195675	1.993429559
267	0.4883322629	1.99024071
268	0.4874759152	1.986796555
269	0.4900449583	1.984389113
270	0.4913294798	1.981940435
271	0.4921858274	1.979579036
272	0.4921858274	1.977002352
273	0.4923999144	1.972972447
274	0.493256262	1.970538099
275	0.4943266966	1.967811053
276	0.4943266966	1.966776086
277	0.4951830443	1.963986379
278	0.4966816528	1.962057194
279	0.4971098266	1.959980075
280	0.4973239135	1.957583027
281	0.498608435	1.95559347
282	0.5001070435	1.952880386
283	0.5003211304	1.949145002
284	0.5018197388	1.946261379
285	0.5028901734	1.943853197
286	0.5046028688	1.941305443
287	0.5050310426	1.938187042
288	0.506743738	1.93546719
289	0.5078141726	1.93167017
290	0.509312781	1.927873035
291	0.5097409548	1.924570344
292	0.5108113894	1.922267856
293	0.5120959109	1.919225838
294	0.5125240848	1.915079783
295	0.5131663455	1.913101474
296	0.5157353886	1.910205338
297	0.5161635624	1.906452147
298	0.5155213016	1.903457657
299	0.5161635624	1.901336896
300	0.517233997	1.899320804
301	0.5168058232	1.896743371
302	0.5189466924	1.894275038
303	0.5193748662	1.891268368
304	0.520017127	1.888024748
305	0.5204453008	1.885458018
306	0.5213016485	1.883695644
307	0.5210875615	1.881690719
